data,moeda,close,media_movel_200
2024-04-10,ETH/USDT,3545.64,2462.7866
2024-04-11,ETH/USDT,3502.52,2472.39565
2024-04-12,ETH/USDT,3237.43,2480.64115
2024-04-13,ETH/USDT,3007.01,2487.70615
2024-04-14,ETH/USDT,3155.11,2495.4885
2024-04-15,ETH/USDT,3101.99,2502.7335
2024-04-16,ETH/USDT,3084.22,2509.81735
2024-04-17,ETH/USDT,2985.41,2516.3899499999998
2024-04-18,ETH/USDT,3064.4,2523.0429999999997
2024-04-19,ETH/USDT,3056.46,2530.0133
2024-04-20,ETH/USDT,3155.79,2537.50785
2024-04-21,ETH/USDT,3147.67,2545.0133
2024-04-22,ETH/USDT,3200.2,2552.95535
2024-04-23,ETH/USDT,3219.46,2560.8275
2024-04-24,ETH/USDT,3140.8,2568.36365
2024-04-25,ETH/USDT,3155.8,2575.97845
2024-04-26,ETH/USDT,3131.3,2583.7343
2024-04-27,ETH/USDT,3255.56,2592.17395
2024-04-28,ETH/USDT,3263.45,2600.65685
2024-04-29,ETH/USDT,3216.73,2609.04245
2024-04-30,ETH/USDT,3014.05,2616.3519
2024-05-01,ETH/USDT,2972.46,2623.4395
2024-05-02,ETH/USDT,2986.19,2630.5816000000004
2024-05-03,ETH/USDT,3102.61,2638.09755
2024-05-04,ETH/USDT,3117.23,2645.85865
2024-05-05,ETH/USDT,3136.41,2653.7235000000005
2024-05-06,ETH/USDT,3062.6,2661.20365
2024-05-07,ETH/USDT,3005.69,2668.2126499999995
2024-05-08,ETH/USDT,2974.21,2674.9390000000003
2024-05-09,ETH/USDT,3036.23,2681.8016500000003
2024-05-10,ETH/USDT,2909.99,2687.5243
2024-05-11,ETH/USDT,2912.45,2693.16165
2024-05-12,ETH/USDT,2929.29,2698.8723499999996
2024-05-13,ETH/USDT,2950.99,2704.6103999999996
2024-05-14,ETH/USDT,2881.93,2710.1230500000006
2024-05-15,ETH/USDT,3032.55,2716.4048
2024-05-16,ETH/USDT,2944.7,2722.1526
2024-05-17,ETH/USDT,3092.01,2728.5674500000005
2024-05-18,ETH/USDT,3122.94,2735.1088
